from_node,to_node
240407606,2423191789
240407606,91469713
12428402,11675220
12428402,1396426605
12428287,11675200
12428287,12867381
901716,196201412
901716,192534209
4229545820,4229517045
4229545820,2380689165
241787798,1423594539
241787798,11956065584
20447295,3451922921
20447295,3451922931
20447295,453171574
32336040,278524351
32336040,32336041
32336040,54850104
32336040,32336039
1430068176,19080459
1430068176,12428371
1430068176,1423546560
480606980,480606981
480606980,4043189649
240088626,247691221
240088626,12649666
240088626,26759862
240088626,12649667
1261227677,32335040
1261227677,60790663
1261227677,1261227681
527734964,20299837
527734964,20299832
527734964,20299876
1426048717,1397026917
1426048717,32475580
1426048717,1426048731
344668040,278304759
344668040,914786403
31926608,31926600
31926608,984316091
31926608,31926643
28230869,479669465
28230869,28230647
28230869,28231265
389142086,389142088
389142086,19223901
389142086,600567209
1346905,30977317
1346905,31015271
1346905,4077285429
1261494717,3022827752
1261494717,12270001930
13228187,4427842681
13228187,2815898071
13228187,11675770
1469664217,1607386
1469664217,205216477
278524737,32475555
278524737,1397022502
3451120784,659788
3451120784,10305180061
49393480,49373107
49393480,1523894764
305249557,305249727
606377547,606377549
57744042,659809
57744042,1431043168
57744042,57744043
12428375,12428382
12428375,12428376
26866512,11675963
26866512,938929601
3072554421,3072554418
12117920,1607381
12117920,248738148
12117920,248739525
305249700,2752694861
305249700,305249351
325723546,255544830
597824932,4893025544
597824932,5047473961
55457278,54819670
55457278,82661790
276338896,1432780755
276338896,1457692062
1276537837,4802701903
1276537837,305412062
1276537837,1276536118
1396869619,1497238368
1396869619,2861851173
26414244,670995
26414244,4896173236
736979902,2413658311
736979902,3119447218
59612074,1139345132
59612074,59612075
59612074,16712016
671023,6368908343
671023,27688179
671023,1320523609
1230016431,333099190
1230016431,1230024565
4222238,8515209795
4222238,8515209797
4222238,147070210
389677,389678
389677,130253646
13260052,13259932
13260052,181478091
2496354326,43326203
2496354326,43326199
27398679,27398676
27398679,280123278
27398679,247176936
12867383,18896419
12867383,16056898
12867383,497075347
670950,96876598
670950,7015438929
670950,2371613112
243480949,243480948
243480949,26384730
243480949,301813621
901698,325720135
901698,2952674744
901698,25757763
6310866598,649296726
6310866598,6310866597
6310866598,19080386
6310866598,1423064479
32436421,32436427
