SiteID,Node_osmid,Site_Lat,Site_Lon,Node_Lat,Node_Lon,Distance
178,12117928,53.3570282,-6.249742617,53.3570104,-6.2497685,3.141289049225568e-05
179,841754281,53.38246,-6.244531,53.3824441,-6.2444585,7.422304224445624e-05
180,5419437478,53.387681,-6.244285,53.3876914,-6.2443233,3.9686899601890355e-05
181,1259427195,53.389783,-6.246246,53.3897866,-6.2462404,6.657326791042072e-06
182,659815,53.35074863,-6.254446963,53.3507411,-6.2544091,3.8604503221526764e-05
183,1396960579,53.347487,-6.255009,53.3474793,-6.2549998,1.1997082977291315e-05
184,71225219,53.34681537,-6.255125119,53.3468087,-6.2551226,7.129814938832373e-06
185,12792674,53.34589915,-6.255148497,53.3459046,-6.2551327,1.6710706417607865e-05
187,671024,53.309842,-6.283565,53.3098572,-6.28351,5.7061720970050027e-05
188,659821,53.34578996,-6.252119984,53.3457851,-6.2521162,6.159403865254276e-06
189,247701137,53.3340389,-6.3285548,53.3340448,-6.3286017,4.7269651997681225e-05
190,1396441238,53.34700658,-6.283928619,53.3469895,-6.2839099,2.534023206222315e-05
191,2397311050,53.34200521,-6.250589226,53.342151,-6.2505001,0.00017087471426542245
192,389666,53.33760485,-6.265788537,53.3376182,-6.2657909,1.3557517069402119e-05
193,12639664,53.345256,-6.272135,53.3449816,-6.2720865,0.0002786532074121655
194,330928747,53.3598561,-6.2397428,53.3596846,-6.2400422,0.0003450400121729632
196,1442736,53.3468383,-6.2589137,53.3470058,-6.2587886,0.00020906042188507514
197,5593384415,53.3475808,-6.2592774,53.3475213,-6.2593927,0.0001297472157725736
198,2892088923,53.34838781,-6.259644159,53.3483267,-6.2597517,0.00012369114269301218
199,5300250111,53.34979793,-6.260258981,53.3503787,-6.2603792,0.0005930821198283076
200,5300250112,53.35194847,-6.261080311,53.3519419,-6.2610744,8.837693196957836e-06
201,3451922932,53.35257079,-6.261489034,53.352555,-6.2613445,0.0001453939519239899
202,10879742095,53.35182721,-6.262915529,53.3517159,-6.2630396,0.00016668391986419934
203,11907019558,53.352744,-6.2489069,53.3527877,-6.2487961,0.00011910638102086968
204,26389284,53.386535,-6.210361,53.3867943,-6.211247,0.0009231643894771439
205,389281,53.33973268,-6.265840567,53.3395894,-6.2658639,0.00014516744568912086
206,2389844211,53.33766189,-6.251542787,53.3376902,-6.2515834,4.950628110545546e-05
207,144837225,53.359325,-6.245566,53.3594596,-6.2454179,0.00020012688475283118
208,3500317267,53.35819816,-6.247448654,53.3583544,-6.2471819,0.00030914177025574506
209,4222238,53.3428069,-6.3605731,53.342787,-6.360399,0.0001752336154960866
210,2626146603,53.3425553,-6.3576219,53.3425396,-6.357551,7.261749100555769e-05
211,13260052,53.3422509,-6.3493363,53.3422734,-6.3492306,0.00010806821919487622
212,3072554421,53.387565,-6.279736,53.3876573,-6.2797993,0.000111920418153822
213,54851186,53.390409,-6.287232,53.3904084,-6.2872317,6.708203931451001e-07
214,11675504,53.38992531,-6.270197332,53.389847,-6.269879,0.00032782269342415503
215,1139345104,53.37990934,-6.265826672,53.3797401,-6.265652,0.00024321283926507747
216,12428352,53.3686101,-6.2697734,53.3687976,-6.2696575,0.0002204292630323603
218,53463893,53.3417633,-6.2277364,53.3417709,-6.227571,0.00016557451494756529
219,3393611301,53.3885676,-6.2655262,53.3889369,-6.2647755,0.0008366199734628952
220,389667,53.3354574,-6.265205397,53.3354833,-6.2652056,2.590079552545908e-05
221,12867311,53.3859713,-6.312615,53.3858131,-6.3127515,0.0002089485343342141
222,11853391,53.3466784,-6.3369597,53.3467477,-6.3369407,7.185742828668311e-05
223,11518167044,53.3608826,-6.1822893,53.3608321,-6.1823914,0.00011390636505213066
224,661497,53.3588536,-6.189932,53.3586224,-6.1899089,0.00023235113513992721
226,559288532,53.3444245,-6.259537235,53.3444768,-6.2594674,8.724802132408593e-05
229,659795,53.34530314,-6.259113968,53.3453301,-6.2591324,3.265853983232659e-05
230,659795,53.34508689,-6.258870614,53.3453301,-6.2591324,0.0003573276002444899
232,389314,53.34575682,-6.257148034,53.3459015,-6.2573464,0.00024552265141037104
233,273128870,53.38826602,-6.261026265,53.387802,-6.2606726,0.0005834325090591597
234,11675497,53.384696,-6.249933,53.3844669,-6.2498808,0.00023497159402661004
235,12867383,53.3632159,-6.2767703,53.3630915,-6.276728,0.0001313950151233091
236,1426048842,53.3382047,-6.281361792,53.3381928,-6.2818203,0.0004586623987896115
237,2389808000,53.33061205,-6.296875013,53.3304155,-6.2974845,0.000640395429144023
238,2373976058,53.32971758,-6.299594575,53.329779,-6.2992135,0.00038599296888133783
243,389711,53.32150988,-6.23515693,53.3214747,-6.2351607,3.538142591574234e-05
246,243643614,53.321131,-6.256135,53.3211901,-6.255885,0.0002568906576734093
247,357226099,53.3591025,-6.2364392,53.3591493,-6.2364124,5.393032542095296e-05
248,42503652,53.3628098,-6.2397045,53.3627952,-6.2398382,0.00013449479543847063
249,2372323798,53.37082162,-6.280146909,53.3708129,-6.280104,4.3786078621968416e-05
254,3977166162,53.339746,-6.241863,53.3397447,-6.2418358,2.7231048456589033e-05
255,12867375,53.3767061,-6.2545287,53.376705,-6.2543785,0.00015020402790890956
256,247322621,53.3697747,-6.2312657,53.3698474,-6.2313716,0.00012845271503406303
257,130159360,53.33542066,-6.263298166,53.3360467,-6.2633581,0.0006289023500959396
258,4229545820,53.3281278,-6.2766772,53.3280709,-6.2767429,8.691432562997413e-05
259,91595432,53.3230781,-6.2789512,53.3231009,-6.2790546,0.00010588389868270031
260,1397032513,53.33616958,-6.268995761,53.3361958,-6.2689267,7.387090171924457e-05
261,240388664,53.37103407,-6.205228169,53.3710621,-6.2052385,2.9873239883998143e-05
262,108008682,53.38002993,-6.164584671,53.3800688,-6.1643982,0.00019047916090964942
263,248380828,53.3908229,-6.159996,53.3907952,-6.1598876,0.00011188319802399663
264,202074305,53.38697262,-6.21497333,53.3869384,-6.2151203,0.00015090125678754744
265,14957903,53.3203515,-6.2862271,53.3202946,-6.2862959,8.928073700691696e-05
266,192308498,53.337605,-6.354153,53.3377216,-6.3539577,0.00022745911720535036
268,658464,53.33435801,-6.255190223,53.3344008,-6.2552554,7.796810520105395e-05
269,1430847303,53.34182053,-6.252296383,53.3418519,-6.2525375,0.00024314909950287023
271,31936571,53.37302291,-6.221667197,53.3731575,-6.2214925,0.00022053006576808353
272,3206752725,53.34435519,-6.26085065,53.3444182,-6.2609041,8.262664582193681e-05
274,1426048943,53.340549,-6.283434,53.3406123,-6.2832517,0.00019297714890386498
275,552584287,53.31725245,-6.208186305,53.3173674,-6.2082799,0.00014823470081569103
276,243643704,53.31151758,-6.247890359,53.312087,-6.2477218,0.0005938444854326764
279,15482563,53.366691,-6.3136,53.3656474,-6.3149714,0.0017233220592813442
280,333089817,53.33631886,-6.273147588,53.3363244,-6.2731758,2.8750800754902125e-05
281,247176553,53.3582654,-6.2417088,53.3582437,-6.2416968,2.4796975620059727e-05
